views,score,name,summary
296149人评价,8.5,喜剧之王 / 喜劇之王 / King of Comedy,137,我是一个演员。
125700人评价,8.8,魂断蓝桥 / Waterloo Bridge / 滑铁卢桥  /  断桥残梦,138,中国式内在的美国电影。
179520人评价,8.6,穿越时空的少女 / 時をかける少女 / 跳跃吧！时空少女(台)  /  Toki o kakeru shôjo,139,爱上未来的你。 
241814人评价,8.5,猜火车 / Trainspotting / 迷幻列车(港)  /  定位的火车,140,不可猜的青春迷笛。 
270561人评价,8.5,恋恋笔记本 / The Notebook / 深情日记  /  写我情真,141,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
143296人评价,8.7,英雄本色 / A Better Tomorrow  /  Gangland Boss,142,英雄泪短，兄弟情长。 
90213人评价,8.9,雨中曲 / Singin' in the Rain / 雨中情  /  万花嬉春,143,骨灰级歌舞片。
289518人评价,8.4,傲慢与偏见 / Pride & Prejudice / 傲慢与偏见2005  /  Pride And Prejudice,144,爱是摈弃傲慢与偏见之后的曙光。
124258人评价,8.7,教父3 / The Godfather: Part III / 教父第三集  /  教父 III,145,任何信念的力量，都无法改变命运。
75910人评价,9.0,完美的世界 / A Perfect World / 强盗保镳,146,坏人的好总是比好人的好来得更感人。
136993人评价,8.7,纵横四海 / 緃横四海 / Once a Thief,147,香港浪漫主义警匪动作片的巅峰之作。
148830人评价,8.7,萤火之森 / 蛍火の杜へ / 萤火之社  /  Hotarubi no mori e,148,触不到的恋人。
185930人评价,8.7,玩具总动员3 / Toy Story 3 / 反斗奇兵3(港)  /  玩具的故事3,149,跨度十五年的欢乐与泪水。
77177人评价,8.8,二十二 / Twenty Two  /  22,150,
183021人评价,8.6,人工智能 / Artificial Intelligence: AI / AI人工智慧,151,对爱的执着，可以超越一切。
164439人评价,8.7,7号房的礼物 / 7번방의 선물 / 戆爸的礼物(港)  /  7号囚房的礼物,152,《我是山姆》的《美丽人生》。
98098人评价,8.8,我是山姆 / I Am Sam / 不一样的爸爸(港)  /  他不笨，他是我爸爸(台),153,爱并不需要智商 。
262293人评价,8.6,哈利·波特与死亡圣器(下) / Harry Potter and the Deathly Hallows: Part 2 / 哈利波特7：死神的圣物2(港 / 台) ,154,10年的完美句点。
235512人评价,8.5,花样年华 / 花樣年華 / In the Mood for Love,155,偷情本没有这样美。
126245人评价,8.7,浪潮 / Die Welle / 恶魔教室(台)  /  白恤暴潮(港),156,世界离独裁只有五天。
265442人评价,8.4,香水 / Perfume: The Story of a Murderer / 香水：一个杀人犯的故事  /  香水：一个谋杀犯的故事,157,一个单凭体香达到高潮的男人。
259360人评价,8.4,冰川时代 / Ice Age / 冰河世纪  /  冰原历险记,158,松鼠才是角儿。
168521人评价,8.6,撞车 / Crash / 冲击效应  /  冲撞,159,天使与魔鬼的冲撞。
269899人评价,8.5,朗读者 / The Reader / 为爱朗读(台)  /  读爱(港),160,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
77664人评价,8.9,追随 / Following / 致命追踪  /  跟踪,161,诺兰的牛逼来源于内心散发出的恐惧。
122975人评价,8.7,荒蛮故事 / Relatos salvajes / 蛮荒故事  /  生命中最抓狂的小事(台),162,始于荒诞，止于更荒诞。
126943人评价,8.7,一次别离 / جدایی نادر از سیمین / 分居风暴(台)  /  伊朗式分居(港),163,只有有信仰的人才能说出事实真相。
117826人评价,8.7,罗生门 / 羅生門 / Rashomon,164,人生的N种可能性。
186488人评价,8.6,时空恋旅人 / About Time / 时空旅恋人  /  回到最爱的一天(港),165,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
149050人评价,8.6,心迷宫 / 殡棺  /  The Coffin in the Mountain,166,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
303782人评价,8.4,唐伯虎点秋香 / 唐伯虎點秋香 / Flirting Scholar,167,华太师是黄霑，吴镇宇四大才子之一。
349229人评价,8.6,超能陆战队 / Big Hero 6 / 大英雄联盟(港)  /  大英雄天团(台),168,Balalala~~~
144983人评价,8.6,海边的曼彻斯特 / Manchester by the Sea / 情系海边之城(港),169,我们都有权利不与自己的过去和解。
103492人评价,8.9,小森林 冬春篇 / リトル・フォレスト 冬・春 / 小森食光 / 冬春篇(台) ,170,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
167943人评价,8.5,战争之王 / Lord of War / 军火之王(台 / 港) ,171,做一颗让别人需要你的棋子。
107232人评价,8.7,梦之安魂曲 / Requiem for a Dream / 噩梦挽歌(台)  /  迷上瘾(港),172,一场没有春天的噩梦。
123443人评价,8.6,可可西里 / Kekexili: Mountain Patrol,173,坚硬的信仰。
105285人评价,8.7,碧海蓝天 / Le grand bleu / 碧海情深  /  夜海倾情,174,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。
